Tip_phy,Infraclass,type,Diet3,Lingual,Omnivorous,Carnivorous,Folivorousbrowser,Mixed_feeder,Tuberivorous,Grazer,Frugivorous,Insectivorous
Acrobates_pygmaeus,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Ailurops_ursinus,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Alouatta_palliata,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Anchitherium_agatensis,Eutheria,Fossil,Mixed_feeder,nostate,nostate,nostate,nostate,Mixed_feeder,nostate,nostate,nostate,nostate
Anomalurus_beecrofti,Eutheria,Extant,Mixed_feeder,nostate,nostate,nostate,nostate,Mixed_feeder,nostate,nostate,nostate,nostate
Antilocapra_americana,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Aotus_trivirgatus,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Bassaricyon_alleni,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Bettongia_penicillata,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Borhyaena_tubercata,Metatheria,Fossil,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Bos_taurus,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Brachytherium_intermedium,Eutheria,Fossil,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Cacajao_calvus,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Caenolestes_fuliginosus,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Callicebus_moloch,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Caluromys_philander,Metatheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Canis_lupus,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Capra_ibex,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Capricornis_sumatraensis,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Capromys_pilorides,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Sapajus_apella,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Cephalophus_nigrifrons,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Cercartetus_concinnus,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Chaeropus_ecaudatus,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Chironectes_minimus,Metatheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Choeropsis_liberiensis,Eutheria,Extant,Mixed_feeder,nostate,nostate,nostate,nostate,Mixed_feeder,nostate,nostate,nostate,nostate
Choloepus_hoffmanni,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Condylura_cristata,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Cricetomys_gambianus,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Crocuta_crocuta,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
